Id,Label,timeset,frequency,modularity_class
Strickneuheiten der Saison,Strickneuheiten der Saison,,206,2
passend zum Anlass,passend zum Anlass,,194,2
Angebote,Angebote,,146,2
Angebote und Neuigkeiten,Angebote und Neuigkeiten,,126,89
Anlass,Anlass,,111,2
Micky Maus,Micky Maus,,835,3
Weihnachten,Weihnachten,,764,9
Maus,Maus,,754,10
Schwarze,Schwarze,,535,27
Kapuzenpullover,Kapuzenpullover,,523,27
Girls,Girls,,458,27
Stores Limited,Stores Limited,,457,3
Primark Stores,Primark Stores,,371,3
Harry Potter,Harry Potter,,335,3
The Pooh Cares,The Pooh Cares,,326,80
Neu eingetroffenDisney,Neu eingetroffenDisney,,280,27
Sneaker,Sneaker,,277,27
Winnie The Pooh,Winnie The Pooh,,273,80
Work From Home,Work From Home,,270,3
Babys Neu eingetroffen,Babys Neu eingetroffen,,268,27
Kapuzenpullover Neu eingetroffen,Kapuzenpullover Neu eingetroffen,,248,27
Socken,Socken,,246,23
Slogan Neu eingetroffen,Slogan Neu eingetroffen,,239,27
Weihnachtsgeschenk Neu eingetroffen,Weihnachtsgeschenk Neu eingetroffen,,238,27
Primark Red Kapuzenpullover,Primark Red Kapuzenpullover,,221,27
Mood Boost,Mood Boost,,220,91
Minnie,Minnie,,215,27
Work From,Work From,,212,3
Pullover,Pullover,,210,27
Disney Lilo,Disney Lilo,,210,3
Abenteuer,Abenteuer,,206,5
Slogan für Babys,Slogan für Babys,,205,27
Disney Frozen,Disney Frozen,,204,27
From Home,From Home,,204,3
Kopf bis Fuß,Kopf bis Fuß,,187,27
Samt,Samt,,167,3
Quaste am Deckel,Quaste am Deckel,,158,3
Sneaker für Damen,Sneaker für Damen,,152,92
Schlüsselanhänger,Schlüsselanhänger,,150,3
Weg,Weg,,149,3
Verschenken an Weihnachten,Verschenken an Weihnachten,,147,9
Rundhalspullover,Rundhalspullover,,144,27
manchmal das Gefühl,manchmal das Gefühl,,143,36
Haustiere Neu eingetroffen,Haustiere Neu eingetroffen,,141,27
Great Outdoors Kapuzenpullover,Great Outdoors Kapuzenpullover,,133,27
Great Outdoors,Great Outdoors,,119,27
Weihnachtsgeschenk,Weihnachtsgeschenk,,114,27
Disney Prinzessin,Disney Prinzessin,,112,27
Produkten angesehen,Produkten angesehen,,105,3
Spiele,Spiele,,102,3
Micky Maus Nostalgia,Micky Maus Nostalgia,,102,27
Anforderungen geradezu spielend,Anforderungen geradezu spielend,,101,27
Sex,Sex,,814,5
