Id,Label,timeset,modularity_class
Eismaschine Mediterrane,Eismaschine Mediterrane,,0
Frühling Corona,Frühling Corona,,0
Heilkraft Urtica dioica,Heilkraft Urtica dioica,,0
voller Heilkraft Urtica,voller Heilkraft Urtica,,0
voller Heilkraft Brennnessel,voller Heilkraft Brennnessel,,0
Heilkraft Urtica,Heilkraft Urtica,,0
Urtica dioica,Urtica dioica,,0
Unkraut schlechthin,Unkraut schlechthin,,0
Schutz vor Krankheiten,Schutz vor Krankheiten,,0
Krankheiten Hildegard,Krankheiten Hildegard,,0
Hildegard von Bingen,Hildegard von Bingen,,0
Ernährung Weihnachtsplätzchen,Ernährung Weihnachtsplätzchen,,0
Rezepte,Rezepte,,0
Trends und Diäten,Trends und Diäten,,0
Raum Schöne Ferien,Raum Schöne Ferien,,3
kleinstem Raum Schöne,kleinstem Raum Schöne,,3
draußen Schwimmen lernen,draußen Schwimmen lernen,,3
Netz Fünf Gründe,Netz Fünf Gründe,,3
Medien und Corona,Medien und Corona,,3
Sicherheit für Kids,Sicherheit für Kids,,3
Kids im Netz,Kids im Netz,,3
Corona Kinderspiele,Corona Kinderspiele,,3
StartseiteFamilieFamilienleben Das Familienleben,StartseiteFamilieFamilienleben Das Familienleben,,3
Geburt Diagnose Schwangerschaftsdiabetes,Geburt Diagnose Schwangerschaftsdiabetes,,3
Diagnose Schwangerschaftsdiabetes Schwangerschaftsgymnastik,Diagnose Schwangerschaftsdiabetes Schwangerschaftsgymnastik,,3
Geburt Diagnose,Geburt Diagnose,,3
Schwangerschaftsdiabetes Schwangerschaftsgymnastik,Schwangerschaftsdiabetes Schwangerschaftsgymnastik,,3
Hause Folge,Hause Folge,,3
Schwangerschaft und Geburt,Schwangerschaft und Geburt,,3
ums Thema Schwangerschaft,ums Thema Schwangerschaft,,3
Geburt Schwanger,Geburt Schwanger,,3
StartseiteFamilieSchwangerschaft und Geburt,StartseiteFamilieSchwangerschaft und Geburt,,3
Yoga gegen Angststörungen,Yoga gegen Angststörungen,,1
Sicher Schwimmen,Sicher Schwimmen,,1
Schwimmen im Badesee,Schwimmen im Badesee,,1
Entspannung Sicher Schwimmen,Entspannung Sicher Schwimmen,,1
Angststörungen Konzentriert arbeiten,Angststörungen Konzentriert arbeiten,,1
Wohlbefinden Zwangsstörungen,Wohlbefinden Zwangsstörungen,,1
Marotte Yoga,Marotte Yoga,,1
Angststörungen Konzentriert,Angststörungen Konzentriert,,1
Entspannung Sicher,Entspannung Sicher,,1
Angststörungen Sicher Schwimmen,Angststörungen Sicher Schwimmen,,1
Sport und Fitness,Sport und Fitness,,1
Badesee MTB,Badesee MTB,,1
Tipps und Tricks,Tipps und Tricks,,1
Themen Sport,Themen Sport,,1
Angststörungen Sicher,Angststörungen Sicher,,1
Tricks für Einsteiger,Tricks für Einsteiger,,1
Beine Angst überwinden,Beine Angst überwinden,,1
Badesee Fünf Übungen,Badesee Fünf Übungen,,1
einfach kochen Folge,einfach kochen Folge,,0
Urlaub Limonade,Urlaub Limonade,,0
Nerven Cocktails,Nerven Cocktails,,0
Rezepte Weihnachtsplätzchen,Rezepte Weihnachtsplätzchen,,0
abnehmen,abnehmen,,2
Abnehmen mit Genuss,Abnehmen mit Genuss,,2
Intervallfasten Folge,Intervallfasten Folge,,2
Krise Abnehmen,Krise Abnehmen,,2
Heißhunger und Jojo-Effekt,Heißhunger und Jojo-Effekt,,2
Jojo-Effekt Ohne Speckpolster,Jojo-Effekt Ohne Speckpolster,,2
